unique_id,year,term,difficulty,topic,small_step,video_id,video_title,channel,duration_formatted,semantic_scores,instruction_quality_scores,combined_scores
Year 11_Autumn_Foundation_Area and volume_Plans and elevations,Year 11,Autumn,Foundation,Area and volume,Plans and elevations,qJwecTgce6c|iH5pMeMqE_k|JQRubuhJBXA,Math Antics - Volume|Loci & Construction some past paper questions|Visualising Solid Shapes | Class 7 Maths | Understanding 3D Shapes 🔺🧱 #kidslearning,mathantics|Sirwaseemnawaz|School_Pro_Kid,00:12:36|00:09:00|00:09:52,0.6881|0.8149|0.6975,85.0|30.0|45.0,0.7528|0.6089|0.5985
Year 11_Autumn_Foundation_Area and volume_Volume of a cylinder,Year 11,Autumn,Foundation,Area and volume,Volume of a cylinder,d3kYT-aJR4E|qJwecTgce6c|lPPqyTiUiIA,Volume of Prisms and Cylinders - Calculating 3D Space|Math Antics - Volume|Density Mass Volume - slightly harder GCSE maths grade 5 ish,Miacademy_&_MiaPrep_Learning_Channel|mathantics|3minutemaths,00:08:05|00:12:36|00:09:46,0.8896|0.8880|0.8458,85.0|85.0|45.0,0.8738|0.8728|0.6875
Year 11_Autumn_Foundation_Area and volume_Volume of a sphere,Year 11,Autumn,Foundation,Area and volume,Volume of a sphere,qJwecTgce6c|CgdTr1Dj6NY|H9Ebn5E5pAQ,Math Antics - Volume|Volume of Spheres - Using the Formula|Volume of Spheres - Understanding Sphere Volume,mathantics|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:36|00:11:08|00:09:37,0.9395|0.9155|0.9136,85.0|85.0|85.0,0.9037|0.8893|0.8882
Year 11_Autumn_Foundation_Area and volume_Volume of cones and pyramids,Year 11,Autumn,Foundation,Area and volume,Volume of cones and pyramids,Jylx_COMJJc|ART2QVF6g3c|jgyrcVYLTFo,Volume of Pyramids and Cones - Volume Formulas Explained|Volume of Pyramids - Calculate 3D Space in Geometry|Volume of pyramids and cones (8th grade math),Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Maths_4_Kids,00:07:06|00:10:46|00:06:15,0.9332|0.8522|0.8704,85.0|85.0|65.0,0.8999|0.8513|0.7822
Year 11_Autumn_Foundation_Area and volume_Surface area of a sphere,Year 11,Autumn,Foundation,Area and volume,Surface area of a sphere,PNz-lL3nzIM|-vVzsdTgeZM|bsd_1vF21Go,Surface Area of Spheres - Understanding and Using the Formula|Surface Area of Spheres - Real-World Geometry|Find Volume of Sphere - Given Surface Area | Eat Pi,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Eat_Pi,00:10:30|00:04:24|00:03:12,0.9265|0.9177|0.8333,85.0|85.0|60.0,0.8959|0.8906|0.7400
Year 11_Autumn_Foundation_Area and volume_Surface area of a cylinder (E),Year 11,Autumn,Foundation,Area and volume,Surface area of a cylinder (E),zTq-CK0pIQw|o2raSiIIOuc|sTxqZTagNFI,Surface Area of Cylinders - Using Nets and Formulas|Surface Area of Cylinders - How To Calculate Using the Radius and Height|Surface area of a Cylinder,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Easy_Math_with_Iqbal,00:06:09|00:11:31|00:05:05,0.8605|0.8282|0.7974,85.0|85.0|65.0,0.8563|0.8369|0.7385
Year 11_Autumn_Foundation_Area and volume_Surface area of a pyramid (E),Year 11,Autumn,Foundation,Area and volume,Surface area of a pyramid (E),79QLa0FMg34|rxmEiz5SZ4M,3D Figures - Pyramid Surface Area|Surface Area of Pyramids and Cones - Geometry Practice,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:08:15|00:13:12,0.9393|0.8590,85.0|85.0,0.9036|0.8554
Year 11_Autumn_Foundation_Area and volume_Surface area of a cone (E),Year 11,Autumn,Foundation,Area and volume,Surface area of a cone (E),PaKCY3ZEnbw|JUgRPUSxoEc|Vo5foseQU_Y,Surface Area of Cones - How To Calculate Using Radius and Lateral Height|Surface Area of a Cone | Math with Mr. J|Find Surface Area of Right Cones | Eat Pi,Miacademy_&_MiaPrep_Learning_Channel|Math_with_Mr._J|Eat_Pi,00:11:24|00:05:39|00:08:36,0.9326|0.9259|0.8767,85.0|85.0|65.0,0.8996|0.8955|0.7860
Year 11_Autumn_Foundation_Area and volume_Convert metric units of area (E),Year 11,Autumn,Foundation,Area and volume,Convert metric units of area (E),7wII5NpOx2c|RicKigB_gp0|qJwecTgce6c,"Metric Volume Measurements - How To Measure and Convert Milliliters, Liters, and Cubic Meters|Metric Length Measurements - How To Convert Millimeters, Centimeters, Meters, and Kilometers|Math Antics - Volume",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|mathantics,00:08:46|00:10:44|00:12:36,0.7443|0.7357|0.6916,85.0|85.0|60.0,0.7866|0.7814|0.6549
Year 11_Autumn_Foundation_Area and volume_Convert metric units of volume (E),Year 11,Autumn,Foundation,Area and volume,Convert metric units of volume (E),7wII5NpOx2c|qJwecTgce6c|b_140MP62Ms,"Metric Volume Measurements - How To Measure and Convert Milliliters, Liters, and Cubic Meters|Math Antics - Volume|Customary Volume Measurements - How To Measure and Convert Cups, Pints, Quarts, and Gallons",Miacademy_&_MiaPrep_Learning_Channel|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:08:46|00:12:36|00:09:20,0.8635|0.8068|0.7828,85.0|85.0|85.0,0.8581|0.8241|0.8097
Year 11_Autumn_Foundation_Similarity and congruence_Identify similar shapes,Year 11,Autumn,Foundation,Similarity and congruence,Identify similar shapes,daUH79CkNS8|VHQ_WoyQdUg|ecc9qXeLegU,Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity|Area of Similar Figures - Using Ratios To Compare Areas|How Do I Use Scale Factors? | KS2 Maths Concept for Kids,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Twinkl_Educational_Publishing,00:10:12|00:11:51|00:04:30,0.8531|0.8034|0.8191,85.0|85.0|75.0,0.8519|0.8220|0.7915
Year 11_Autumn_Foundation_Similarity and congruence_Find unknown lengths and angles in similar shapes,Year 11,Autumn,Foundation,Similarity and congruence,Find unknown lengths and angles in similar shapes,eGTL1FhG89E|daUH79CkNS8|viUNXaoZmSA,Similar Triangles Part 1 - Triangle Similarity Theorems|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity|Similar Polygons - Proving Figures Are Similar,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:13|00:10:12|00:09:53,0.8512|0.8381|0.8363,85.0|85.0|85.0,0.8507|0.8428|0.8418
Year 11_Autumn_Foundation_Similarity and congruence_Identify similar triangles,Year 11,Autumn,Foundation,Similarity and congruence,Identify similar triangles,hk_o0pzKSds|eGTL1FhG89E|daUH79CkNS8,Similar Triangles – Triangle Similarity With Missing Information|Similar Triangles Part 1 - Triangle Similarity Theorems|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:10:18|00:12:13|00:10:12,0.9420|0.9192|0.9053,85.0|85.0|85.0,0.9052|0.8915|0.8832
Year 11_Autumn_Foundation_Similarity and congruence_Solve problems with similar shapes,Year 11,Autumn,Foundation,Similarity and congruence,Solve problems with similar shapes,eGTL1FhG89E|VHQ_WoyQdUg|daUH79CkNS8,Similar Triangles Part 1 - Triangle Similarity Theorems|Area of Similar Figures - Using Ratios To Compare Areas|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:13|00:11:51|00:10:12,0.8236|0.8056|0.8013,85.0|85.0|85.0,0.8342|0.8234|0.8208
Year 11_Autumn_Foundation_Similarity and congruence_Prove a pair of triangles are similar (E),Year 11,Autumn,Foundation,Similarity and congruence,Prove a pair of triangles are similar (E),eGTL1FhG89E|hk_o0pzKSds|mJ4Ms6SXEgg,Similar Triangles Part 1 - Triangle Similarity Theorems|Similar Triangles – Triangle Similarity With Missing Information|Proving Triangle Congruence and Similarity,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Professor_Dave_Explains,00:12:13|00:10:18|00:05:08,0.9263|0.8727|0.9092,85.0|85.0|65.0,0.8958|0.8636|0.8055
Year 11_Autumn_Foundation_Similarity and congruence_Similarity and congruence,Year 11,Autumn,Foundation,Similarity and congruence,Similarity and congruence,qQMaccG-xEg|daUH79CkNS8|gpbcYlqKUY4,What are Congruent and Similar Figures?|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity|Is That the Same Shape? - Congruent Figures,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:46|00:10:12|00:09:55,0.8991|0.8805|0.8713,85.0|85.0|85.0,0.8795|0.8683|0.8628
Year 11_Autumn_Foundation_Similarity and congruence_Congruent triangles,Year 11,Autumn,Foundation,Similarity and congruence,Congruent triangles,p2hjBI9fNas|eGTL1FhG89E|VOtxC0pWeUE,Congruence of triangle SSS SAS ASA AAS RHS Rule – Triangle Congruence Made Easy #mathematics|Similar Triangles Part 1 - Triangle Similarity Theorems|Congruent Triangles and Congruence properties - Grade 7 - Geometry - Amazing Maths,Marvel_Mathematics|Miacademy_&_MiaPrep_Learning_Channel|Amazing_Maths,00:08:47|00:12:13|00:07:54,0.9249|0.8430|0.8270,75.0|85.0|65.0,0.8549|0.8458|0.7562
Year 11_Autumn_Foundation_Sequences and proof_Describe and continue arithmetic and geometric sequences,Year 11,Autumn,Foundation,Sequences and proof,Describe and continue arithmetic and geometric sequences,DdaHMUAN09k|8cKiweNbbbc|cS0B0RYP85E,Introduction to Arithmetic Sequences- Algebra for Teens!|Geometric Sequences- Algebra for Teens!|Arithmetic Sequences - Practice Identifying and Creating Arithmetic Sequences,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:04:23|00:03:53|00:14:07,0.8420|0.8034|0.8031,85.0|85.0|75.0,0.8452|0.8220|0.7818
Year 11_Autumn_Foundation_Sequences and proof_Explore other sequences,Year 11,Autumn,Foundation,Sequences and proof,Explore other sequences,DdaHMUAN09k|XzRCfe8jG60|Dq5IU1ut4tg,Introduction to Arithmetic Sequences- Algebra for Teens!|A23a Part 1 video 1 of 2 Generating a sequence using a term-to-term rule|Term to Term vs Position to term rules,Miacademy_&_MiaPrep_Learning_Channel|BossMaths|Duncan_Loweth,00:04:23|00:06:59|00:05:34,0.7737|0.7483|0.7429,85.0|70.0|65.0,0.8042|0.7290|0.7058
Year 11_Autumn_Foundation_Sequences and proof_Generate a sequence given an algebraic rule,Year 11,Autumn,Foundation,Sequences and proof,Generate a sequence given an algebraic rule,DdaHMUAN09k|JI4i1PqY4HM|KpUBYyANVSs,Introduction to Arithmetic Sequences- Algebra for Teens!|Generate sequences given a rule in words|Sequences and Domain- Algebra for Teens!,Miacademy_&_MiaPrep_Learning_Channel|Lianne_Lauder|Miacademy_&_MiaPrep_Learning_Channel,00:04:23|00:07:25|00:06:58,0.7721|0.7754|0.7626,85.0|65.0|65.0,0.8033|0.7252|0.7175
Year 11_Autumn_Foundation_Sequences and proof_nth term of a linear sequence,Year 11,Autumn,Foundation,Sequences and proof,nth term of a linear sequence,DdaHMUAN09k|18QmGjau-nU|ly6ZbZkUMhA,Introduction to Arithmetic Sequences- Algebra for Teens!|Find ANY Term of an Arithmetic Sequence | HS.F-LE.A.1 #fallintoshorts|The nth Term Made Simple (With Examples),Miacademy_&_MiaPrep_Learning_Channel|The_Magic_of_Math|Maths_with_Mrs_B,00:04:23|00:00:00|00:09:57,0.7766|0.7645|0.7450,85.0|75.0|75.0,0.8060|0.7587|0.7470
Year 11_Autumn_Foundation_Sequences and proof_Represent numbers algebraically (E),Year 11,Autumn,Foundation,Sequences and proof,Represent numbers algebraically (E),vV7C7bXm4VI|niX0LH-dTWI|mX91_3GQqLY,Math Antics - Number Patterns|Proof - Odd composite numbers (1 of 3: Setup)|Proof that square root of 2 is irrational | Algebra I | Khan Academy,mathantics|Eddie_Woo|Khan_Academy,00:13:53|00:00:00|00:07:47,0.7128|0.6907|0.6877,70.0|60.0|35.0,0.7077|0.6544|0.5526
Year 11_Autumn_Foundation_Sequences and proof_Arguments and counterexamples (E),Year 11,Autumn,Foundation,Sequences and proof,Arguments and counterexamples (E),ppw-ffPmmGo|HqnEi2ybKjk|-KPuk4POzsI,Algebraic Proofs - Using Algebra in Geometry Proofs|Implications & Contrapositives (2 of 2: Further examples)|Divisibility Proof (1 of 2: Sum of 7 consecutive integers),Miacademy_&_MiaPrep_Learning_Channel|Eddie_Woo|Eddie_Woo,00:08:41|00:00:00|00:00:00,0.5690|0.5673|0.5623,75.0|65.0|65.0,0.6414|0.6004|0.5974
Year 11_Autumn_Foundation_Work with circles_Area and circumference of a circle,Year 11,Autumn,Foundation,Work with circles,Area and circumference of a circle,O-cawByg2aA|aki57o5ryp4|B4FqJHZmWwY,"Math Antics - Circles, Circumference And Area|Area of Circles - Calculating using Radius, Diameter and Circumference|Circles and Sectors Part 2 - Segment and Sector Areas",mathantics|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:07:56|00:11:00|00:08:57,0.8268|0.7989|0.7790,85.0|85.0|85.0,0.8361|0.8193|0.8074
Year 11_Autumn_Foundation_Work with circles_Fractional parts of a circle (area),Year 11,Autumn,Foundation,Work with circles,Fractional parts of a circle (area),B4FqJHZmWwY|CA9XLJpQp3c|_eTOG13qalg,Circles and Sectors Part 2 - Segment and Sector Areas|Math Antics - Fractions Are Parts|Geometric Probability - Shapes and Probabilities,Miacademy_&_MiaPrep_Learning_Channel|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:08:57|00:05:16|00:08:44,0.8372|0.7098|0.7232,85.0|75.0|45.0,0.8423|0.7259|0.6139
Year 11_Autumn_Foundation_Work with circles_Area of a sector (E),Year 11,Autumn,Foundation,Work with circles,Area of a sector (E),B4FqJHZmWwY|RlOXnhTujDQ|_eTOG13qalg,Circles and Sectors Part 2 - Segment and Sector Areas|Area between sector and triangle|Geometric Probability - Shapes and Probabilities,Miacademy_&_MiaPrep_Learning_Channel|Khan_Academy|Miacademy_&_MiaPrep_Learning_Channel,00:08:57|00:03:55|00:08:44,0.9772|0.7994|0.7985,85.0|70.0|45.0,0.9263|0.7597|0.6591
Year 11_Autumn_Foundation_Work with circles_Fractional parts of a circle (perimeter),Year 11,Autumn,Foundation,Work with circles,Fractional parts of a circle (perimeter),dsDr7v0RViA|B4FqJHZmWwY|NhFA8otaa5w,Arc Length and Arc Measure Part 1 - Measuring Circular Arcs|Circles and Sectors Part 2 - Segment and Sector Areas|Circles Unit Introduction - Learn the Basics of Circles,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:07:55|00:08:57|00:03:06,0.7974|0.8223|0.7556,85.0|75.0|55.0,0.8184|0.7934|0.6733
Year 11_Autumn_Foundation_Work with circles_Arc length and perimeter (E),Year 11,Autumn,Foundation,Work with circles,Arc length and perimeter (E),dsDr7v0RViA|dYYXe2JDCn8|y1_trKQXNbE,Arc Length and Arc Measure Part 1 - Measuring Circular Arcs|Measuring Angles With Radians and Degrees - How To Measure Angles|Wrap-Up: Arcs and Angles - Circle Geometry Review,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:07:55|00:09:36|00:02:29,0.8643|0.7980|0.7621,85.0|75.0|45.0,0.8586|0.7788|0.6373
Year 11_Autumn_Foundation_Work with circles_Area and perimeter of compound shapes with circles,Year 11,Autumn,Foundation,Work with circles,Area and perimeter of compound shapes with circles,FGfGzS2qx-k|yYCTckL1mOg|pBLGUZvDrdA,Area of Composite Figures - Combining Multiple Shapes|Composite Figures - Calculating Area|Geometry Wrap-Up - Review and Practice for Assessment,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:13:13|00:10:02|00:02:37,0.7614|0.7247|0.7297,85.0|85.0|40.0,0.7969|0.7748|0.5978
Year 11_Autumn_Foundation_Work with circles_Solve problems with circles,Year 11,Autumn,Foundation,Work with circles,Solve problems with circles,B4FqJHZmWwY|25cEiaQdkAs|pBLGUZvDrdA,Circles and Sectors Part 2 - Segment and Sector Areas|Area of a circle (7th grade math)|Geometry Wrap-Up - Review and Practice for Assessment,Miacademy_&_MiaPrep_Learning_Channel|Maths_4_Kids|Miacademy_&_MiaPrep_Learning_Channel,00:08:57|00:06:24|00:02:37,0.5626|0.6253|0.5694,85.0|55.0|30.0,0.6776|0.5952|0.4616
Year 11_Autumn_Higher_Ratio and proportion_Solve problems with ratio,Year 11,Autumn,Higher,Ratio and proportion,Solve problems with ratio,s6vNggGjHXI|USmit5zUGas|RtxHlDvKvEo,Solving Proportions - Geometry Practice With Proportions|Math Antics - Proportions|Algebra word problems,Miacademy_&_MiaPrep_Learning_Channel|mathantics|Maths_4_Kids,00:14:17|00:10:30|00:05:03,0.7091|0.6860|0.7107,85.0|85.0|60.0,0.7655|0.7516|0.6664
Year 11_Autumn_Higher_Ratio and proportion_Best buy problems,Year 11,Autumn,Higher,Ratio and proportion,Best buy problems,dR0ozGTZkb8|s6vNggGjHXI|Wig8ET2fiA8,Percentages and Ratios - Solving Percentage Problems With Ratios|Solving Proportions - Geometry Practice With Proportions|How to Identify Proportional Relationships | 7.RP.A.2 💚,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|The_Magic_of_Math,00:14:49|00:14:17|00:00:00,0.7023|0.6288|0.6252,85.0|75.0|75.0,0.7614|0.6773|0.6751
Year 11_Autumn_Higher_Ratio and proportion_Conversion graphs,Year 11,Autumn,Higher,Ratio and proportion,Conversion graphs,XdY9HwxRrpw|ZPij4ZpdBqc|AfBYtwInKVE,"Proportional Relationships and Slope - How To Find the Slope of Proportional Relationships|One-Step Unit Conversions - Writing and Solving Proportions|Multiple Representations of Proportional Relationships - Tables, Graphs, and Equations",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:09:48|00:10:16|00:11:15,0.7703|0.7498|0.7157,85.0|85.0|85.0,0.8022|0.7899|0.7694
Year 11_Autumn_Higher_Ratio and proportion_Exchange rates,Year 11,Autumn,Higher,Ratio and proportion,Exchange rates,ZPij4ZpdBqc|s6vNggGjHXI|Wig8ET2fiA8,One-Step Unit Conversions - Writing and Solving Proportions|Solving Proportions - Geometry Practice With Proportions|How to Identify Proportional Relationships | 7.RP.A.2 💚,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|The_Magic_of_Math,00:10:16|00:14:17|00:00:00,0.6758|0.6657|0.6572,85.0|75.0|75.0,0.7455|0.6994|0.6943
Year 11_Autumn_Higher_Ratio and proportion_Direct proportion equations,Year 11,Autumn,Higher,Ratio and proportion,Direct proportion equations,cBJP0ic00G0|qyX2XQ17q8o|H6cMdgu5pXE,Equations of Proportional Relationships - How To Write an Equation for Proportional Relationships|Proportional relationship or not? (7th grade math/prealgebra)|55ai GCSE Number (H) To Find an Unknown Quantity that is in Direct Proportion: Lesson Part 1,Miacademy_&_MiaPrep_Learning_Channel|Maths_4_Kids|GDGriffithsmaths,00:10:43|00:08:19|00:05:51,0.8373|0.8411|0.8496,85.0|65.0|55.0,0.8424|0.7647|0.7297
Year 11_Autumn_Higher_Ratio and proportion_Complex direct proportion equations (E),Year 11,Autumn,Higher,Ratio and proportion,Complex direct proportion equations (E),rtLKCv5buLw|_83-wsgjt-Y|H6cMdgu5pXE,Direct & Inverse Proportion Explained (with example Qs) - IGCSE and GCSE Maths|Proportional Equations - How To Solve Equations Formed by Two Equal Fractions|55ai GCSE Number (H) To Find an Unknown Quantity that is in Direct Proportion: Lesson Part 1,Save_My_Exams|Miacademy_&_MiaPrep_Learning_Channel|GDGriffithsmaths,00:05:15|00:10:13|00:05:51,0.8258|0.7378|0.7545,65.0|75.0|65.0,0.7555|0.7427|0.7127
Year 11_Autumn_Higher_Ratio and proportion_Inverse proportion,Year 11,Autumn,Higher,Ratio and proportion,Inverse proportion,9kR3kYF1yU4|gEj_IExbd08|rtLKCv5buLw,INVERSE PROPORTION challenge! (6 Workers vs 10 Workers)|Inverse Proportion | Pre-Algebra | Mathacademy|Direct & Inverse Proportion Explained (with example Qs) - IGCSE and GCSE Maths,Maths_Depot|Mathacademy|Save_My_Exams,00:08:10|00:09:51|00:05:15,0.8997|0.8051|0.7919,65.0|65.0|45.0,0.7998|0.7431|0.6551
Year 11_Autumn_Higher_Ratio and proportion_Inverse proportion equations (E),Year 11,Autumn,Higher,Ratio and proportion,Inverse proportion equations (E),5WJCOPTPV3c|uZ6l-loSdRs|rtLKCv5buLw,Directly and Inversely Proportional Relationships|Inverse Proportion - Corbettmaths|Direct & Inverse Proportion Explained (with example Qs) - IGCSE and GCSE Maths,Learn_Math_Tutorials|corbettmaths|Save_My_Exams,00:09:24|00:05:43|00:05:15,0.8652|0.8209|0.8508,70.0|70.0|65.0,0.7991|0.7725|0.7705
Year 11_Autumn_Higher_Ratio and proportion_Direct and indirect proportion graphs,Year 11,Autumn,Higher,Ratio and proportion,Direct and indirect proportion graphs,AfBYtwInKVE|XdY9HwxRrpw|iFoQp4fQZ7E,"Multiple Representations of Proportional Relationships - Tables, Graphs, and Equations|Proportional Relationships and Slope - How To Find the Slope of Proportional Relationships|Linear Relationships - Differentiating Between Proportional and Non-Proportional Relationships",Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:11:15|00:09:48|00:10:59,0.8282|0.8247|0.8212,85.0|85.0|75.0,0.8369|0.8348|0.7927
Year 11_Autumn_Higher_Area and volume_Plans and elevations,Year 11,Autumn,Higher,Area and volume,Plans and elevations,qJwecTgce6c|iH5pMeMqE_k|JQRubuhJBXA,Math Antics - Volume|Loci & Construction some past paper questions|Visualising Solid Shapes | Class 7 Maths | Understanding 3D Shapes 🔺🧱 #kidslearning,mathantics|Sirwaseemnawaz|School_Pro_Kid,00:12:36|00:09:00|00:09:52,0.6879|0.8147|0.6980,85.0|30.0|45.0,0.7527|0.6088|0.5988
Year 11_Autumn_Higher_Area and volume_Volume of a sphere,Year 11,Autumn,Higher,Area and volume,Volume of a sphere,qJwecTgce6c|CgdTr1Dj6NY|H9Ebn5E5pAQ,Math Antics - Volume|Volume of Spheres - Using the Formula|Volume of Spheres - Understanding Sphere Volume,mathantics|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:36|00:11:08|00:09:37,0.9394|0.9154|0.9135,85.0|85.0|85.0,0.9036|0.8892|0.8881
Year 11_Autumn_Higher_Area and volume_Volume of cones and pyramids,Year 11,Autumn,Higher,Area and volume,Volume of cones and pyramids,Jylx_COMJJc|ART2QVF6g3c|jgyrcVYLTFo,Volume of Pyramids and Cones - Volume Formulas Explained|Volume of Pyramids - Calculate 3D Space in Geometry|Volume of pyramids and cones (8th grade math),Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Maths_4_Kids,00:07:06|00:10:46|00:06:15,0.9290|0.8482|0.8654,85.0|85.0|65.0,0.8974|0.8489|0.7793
Year 11_Autumn_Higher_Area and volume_Surface area of spheres and cones,Year 11,Autumn,Higher,Area and volume,Surface area of spheres and cones,rxmEiz5SZ4M|PaKCY3ZEnbw|96Fu6533-lU,Surface Area of Pyramids and Cones - Geometry Practice|Surface Area of Cones - How To Calculate Using Radius and Lateral Height|Composite Surface Area - Combining 3D Figures,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:13:12|00:11:24|00:14:45,0.8531|0.8484|0.8231,85.0|85.0|75.0,0.8518|0.8491|0.7938
Year 11_Autumn_Higher_Area and volume_Volume and surface area of a frustrum (E),Year 11,Autumn,Higher,Area and volume,Volume and surface area of a frustrum (E),rxmEiz5SZ4M|HFn7-k1hIAI|J943-Uv0meo,Surface Area of Pyramids and Cones - Geometry Practice|Composite Volume - Add Volumes of Complex Solids|Form 2 Maths .Volume of a Frustum,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|JANE_HOPE,00:13:12|00:07:00|00:07:39,0.7674|0.7410|0.8426,75.0|75.0|45.0,0.7604|0.7446|0.6856
Year 11_Autumn_Higher_Area and volume_Convert metric units of area and volume,Year 11,Autumn,Higher,Area and volume,Convert metric units of area and volume,7wII5NpOx2c|qJwecTgce6c|b_140MP62Ms,"Metric Volume Measurements - How To Measure and Convert Milliliters, Liters, and Cubic Meters|Math Antics - Volume|Customary Volume Measurements - How To Measure and Convert Cups, Pints, Quarts, and Gallons",Miacademy_&_MiaPrep_Learning_Channel|mathantics|Miacademy_&_MiaPrep_Learning_Channel,00:08:46|00:12:36|00:09:20,0.8289|0.7894|0.7590,85.0|85.0|85.0,0.8373|0.8136|0.7954
Year 11_Autumn_Higher_Similarity and congruence_Find unknown lengths and angles in similar shapes,Year 11,Autumn,Higher,Similarity and congruence,Find unknown lengths and angles in similar shapes,eGTL1FhG89E|daUH79CkNS8|viUNXaoZmSA,Similar Triangles Part 1 - Triangle Similarity Theorems|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity|Similar Polygons - Proving Figures Are Similar,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:13|00:10:12|00:09:53,0.8511|0.8380|0.8362,85.0|85.0|85.0,0.8507|0.8428|0.8417
Year 11_Autumn_Higher_Similarity and congruence_Identify similar triangles,Year 11,Autumn,Higher,Similarity and congruence,Identify similar triangles,hk_o0pzKSds|eGTL1FhG89E|daUH79CkNS8,Similar Triangles – Triangle Similarity With Missing Information|Similar Triangles Part 1 - Triangle Similarity Theorems|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:10:18|00:12:13|00:10:12,0.9415|0.9189|0.9050,85.0|85.0|85.0,0.9049|0.8913|0.8830
Year 11_Autumn_Higher_Similarity and congruence_Solve problems with similar shapes,Year 11,Autumn,Higher,Similarity and congruence,Solve problems with similar shapes,eGTL1FhG89E|VHQ_WoyQdUg|daUH79CkNS8,Similar Triangles Part 1 - Triangle Similarity Theorems|Area of Similar Figures - Using Ratios To Compare Areas|Corresponding Parts: Part 2 - Using Corresponding Sides and Angles To Determine Shape Similarity,Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel|Miacademy_&_MiaPrep_Learning_Channel,00:12:13|00:11:51|00:10:12,0.8238|0.8057|0.8012,85.0|85.0|85.0,0.8343|0.8234|0.8207
